1	уже	уже	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#0.0#0.45
2	выросли	вырасти	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#0.45#0.9
3	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#0.9#1.35
4	молодые	молодой	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#1.35#1.8
5	которые	который	PRON	_	Case=Nom	_	_	_	@vvm1939m-words#@vvm1939m#1.8#2.25
6	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#2.25#2.7
7	да	да	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#4.5#4.89
8	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#4.89#5.28
9	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@vvm1939m-words#@vvm1939m#10.201#10.663
10	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#10.663#11.125
11	очень	очень	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#11.125#11.587
12	эти	этот	PRON	_	Animacy=Inan|Case=Acc|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#11.587#12.049
13	темы	тема	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#12.049#12.511
14	трогают	трогать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#12.511#12.974
15	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#12.993#13.166
16	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#13.166#13.339
17	очень	очень	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#13.339#13.512
18	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#13.512#13.688
19	нет	нет	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#15.383#16.181
20	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#16.181#16.979
21	трогают	трогать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#16.979#17.779
22	да	да	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#19.61#19.873
23	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#19.873#20.136
24	ффф	ффф	INTJ	_		_	_	_	@vvm1939m-words#@vvm1939m#21.915#23.889
25	научиться	научиться	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Mid	_	_	_	@vvm1939m-words#@vvm1939m#23.902#24.311
26	профессии	профессия	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#24.311#24.72
27	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#24.72#25.129
28	зарабатывать	зарабатывать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#25.129#25.538
29	деньги	деньги	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#25.538#25.947
30	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#25.947#26.356
31	от	от	ADP	_	_	_	_	_	@vvm1939m-words#@vvm1939m#26.356#26.765
32	профессии	профессия	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#26.765#27.174
33	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#27.174#27.583
34	как	как	SCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#27.583#27.992
35	вот	вот	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#27.992#28.402
36	тот	тот	PRON	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#29.987#30.407
37	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#30.407#30.827
38	как	как	SCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#30.827#31.247
39	кто	кто	PRON	_	Case=Nom	_	_	_	@vvm1939m-words#@vvm1939m#31.247#31.667
40	сумел	суметь	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#31.667#32.087
41	и	и	CCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#32.087#32.507
42	так	так	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#32.507#32.927
43	далее	далее	ADV	_	Degree=Cmp	_	_	_	@vvm1939m-words#@vvm1939m#32.927#33.35
44	вот	вот	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#33.487#33.721
45	им	они	PRON	_	Case=Dat|Number=Plur|Person=3	_	_	_	@vvm1939m-words#@vvm1939m#33.721#33.955
46	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#33.955#34.189
47	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#34.189#34.423
48	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#34.423#34.657
49	их	они	PRON	_	Case=Acc|Number=Plur|Person=3	_	_	_	@vvm1939m-words#@vvm1939m#34.657#34.891
50	интересует	интересовать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#34.891#35.129
51	у	у	ADP	_	_	_	_	_	@vvm1939m-words#@vvm1939m#35.168#35.648
52	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@vvm1939m-words#@vvm1939m#35.648#36.128
53	какие-то	какой-то	PRON	_	Animacy=Inan|Case=Nom|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#36.128#36.608
54	#покашливание#	#покашливание#	X	_		_	_	_	@vvm1939m-words#@vvm1939m#36.608#37.09
55	идейные	идейный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#38.233#38.854
56	споры	спор	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#38.854#39.475
57	идут	идти	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#39.475#40.096
58	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#40.096#40.717
59	с	с	ADP	_	_	_	_	_	@vvm1939m-words#@vvm1939m#40.717#41.338
60	внуком	внук	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#41.338#41.961
61	там	там	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#42.324#42.774
62	семнадцать	семнадцать	NUM	_	Case=Nom	_	_	_	@vvm1939m-words#@vvm1939m#42.774#43.224
63	лет	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#43.224#43.674
64	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#43.674#44.124
65	вот	вот	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#44.124#44.574
66	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@vvm1939m-words#@vvm1939m#44.574#45.024
67	уже	уже	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#45.024#45.474
68	гораздо	гораздо	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#45.474#45.924
69	более	более	ADV	_	Degree=Cmp	_	_	_	@vvm1939m-words#@vvm1939m#45.924#46.374
70	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#46.374#46.824
71	революционно	революционно	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#48.441#48.826
72	настроен	настроить	VERB	_	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	_	_	_	@vvm1939m-words#@vvm1939m#48.826#49.211
73	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#49.211#49.596
74	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vvm1939m-words#@vvm1939m#49.596#49.981
75	понимаю	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#49.981#50.366
76	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#50.366#50.751
77	что	что	SCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#50.751#51.136
78	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#51.136#51.521
79	поколение	поколение	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#51.521#51.906
80	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#51.906#52.291
81	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#52.291#52.676
82	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#52.676#53.061
83	только	только	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#53.061#53.454
84	но	но	CCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#54.974#55.45
85	пока	пока	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#55.45#55.926
86	что	что	SCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#55.926#56.402
87	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#56.402#56.878
88	глупо	глупый	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@vvm1939m-words#@vvm1939m#56.878#57.354
89	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#57.354#57.83
90	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#57.83#58.306
91	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#58.306#58.782
92	что	что	SCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#58.782#59.258
93	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@vvm1939m-words#@vvm1939m#59.258#59.734
94	говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#59.734#60.22
95	ну	ну	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#64.889#65.185
96	в	в	ADP	_	_	_	_	_	@vvm1939m-words#@vvm1939m#65.185#65.481
97	принципе	принцип	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#65.481#65.777
98	что	что	SCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#65.777#66.073
99	все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#66.073#66.369
100	плохо	плохой	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#66.369#66.668
101	все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#66.811#67.515
102	плохо	плохой	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#67.515#68.22
103	все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#69.149#69.49
104	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#69.49#69.831
105	начальство	начальство	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#69.831#70.172
106	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#70.172#70.513
107	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#70.513#70.854
108	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#70.854#71.195
109	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#71.195#71.536
110	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#71.536#71.877
111	те	тот	PRON	_	Animacy=Inan|Case=Nom|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#71.877#72.22
112	э	э	INTJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#73.253#73.841
113	надо	надо	PRED	_	_	_	_	_	@vvm1939m-words#@vvm1939m#73.841#74.429
114	гораздо	гораздо	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#74.429#75.017
115	острее	остро	ADV	_	Degree=Cmp	_	_	_	@vvm1939m-words#@vvm1939m#75.017#75.605
116	и	и	CCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#75.605#76.193
117	сильнее	сильно	ADV	_	Degree=Cmp	_	_	_	@vvm1939m-words#@vvm1939m#76.193#76.781
118	действовать	действовать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#76.781#77.369
119	и	и	CCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#77.369#77.957
120	так	так	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#77.957#78.545
121	далее	далее	ADV	_	Degree=Cmp	_	_	_	@vvm1939m-words#@vvm1939m#78.545#79.133
122	э	э	INTJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#79.133#79.727
123	угу	угу	INTJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#82.487#82.818
124	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#82.818#83.149
125	нет	нет	PRED	_	_	_	_	_	@vvm1939m-words#@vvm1939m#88.889#89.221
126	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#89.221#89.553
127	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#89.553#89.885
128	пожалел	пожалеть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#89.885#90.22
129	честно	честно	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#92.954#93.259
130	вам	вы	PRON	_	Case=Dat|Number=Plur|Person=2	_	_	_	@vvm1939m-words#@vvm1939m#93.259#93.564
131	скажу	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#93.564#93.869
132	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#93.869#94.174
133	меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	_	_	_	@vvm1939m-words#@vvm1939m#94.174#94.479
134	куда-то	куда-то	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#94.479#94.784
135	там	там	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#94.784#95.089
136	присоединяют	присоединять	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#95.089#95.394
137	время	время	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#95.394#95.699
138	от	от	ADP	_	_	_	_	_	@vvm1939m-words#@vvm1939m#95.699#96.004
139	времени	время	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#96.004#96.311
140	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vvm1939m-words#@vvm1939m#96.681#96.993
141	никуда	никуда	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#96.993#97.305
142	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#97.305#97.617
143	плачу	платить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#97.617#97.929
144	взносы	взнос	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#97.929#98.241
145	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#98.241#98.553
146	ничего	ничто	PRON	_	Case=Gen	_	_	_	@vvm1939m-words#@vvm1939m#98.553#98.865
147	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#98.865#99.177
148	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#99.177#99.489
149	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#99.489#99.801
150	все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#99.801#100.113
151	равно	равный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@vvm1939m-words#@vvm1939m#100.113#100.425
152	время	время	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#100.425#100.737
153	от	от	ADP	_	_	_	_	_	@vvm1939m-words#@vvm1939m#100.737#101.049
154	времени	время	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#101.049#101.361
155	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vvm1939m-words#@vvm1939m#101.361#101.673
156	имею	иметь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#101.673#101.985
157	какую-то	какой-то	PRON	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#101.985#102.297
158	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#102.297#102.623
159	ээ	ээ	INTJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#103.246#104.174
160	какую-то	какой-то	PRON	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#104.174#105.102
161	бумажку	бумажка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#105.102#106.03
162	получаю	получать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#106.03#106.961
163	но	но	CCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#107.876#108.151
164	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vvm1939m-words#@vvm1939m#108.151#108.426
165	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#108.426#108.701
166	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#108.701#108.976
167	если	если	SCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#108.976#109.251
168	не	не	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#109.251#109.526
169	плачу	платить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#109.526#109.801
170	взносы	взнос	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#109.801#110.076
171	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#110.076#110.351
172	то	то	SCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#110.351#110.626
173	кто	кто	PRON	_	Case=Nom	_	_	_	@vvm1939m-words#@vvm1939m#110.626#110.901
174	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vvm1939m-words#@vvm1939m#110.901#111.176
175	?	?	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#111.176#111.451
176	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#111.451#111.726
177	никто	никто	PRON	_	Case=Nom	_	_	_	@vvm1939m-words#@vvm1939m#111.726#112.001
178	наверное	наверное	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#112.001#112.276
179	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#112.276#112.564
180	в	в	ADP	_	_	_	_	_	@vvm1939m-words#@vvm1939m#122.805#123.157
181	основном	основной	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#123.157#123.509
182	в	в	ADP	_	_	_	_	_	@vvm1939m-words#@vvm1939m#123.509#123.861
183	качестве	качество	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#123.861#124.213
184	председателя	председатель	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#124.213#124.565
185	жюри	жюри	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@vvm1939m-words#@vvm1939m#124.565#124.922
186	смотрю	смотреть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#125.415#126.022
187	картины	картина	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#126.022#126.629
188	и	и	CCONJ	_	_	_	_	_	@vvm1939m-words#@vvm1939m#127.025#127.444
189	кино	кино	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#127.444#127.863
190	неплохие	неплохой	NOUN	_	Animacy=Inan|Case=Nom|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#127.863#128.282
191	бывают	бывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvm1939m-words#@vvm1939m#128.282#128.701
192	/	/	PUNCT	_	_	_	_	_	@vvm1939m-words#@vvm1939m#128.701#129.123
193	да	да	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#130.376#131.045
194	фильмы	фильм	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#132.168#132.648
195	неплохие	неплохой	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@vvm1939m-words#@vvm1939m#132.648#133.129
196	вот	вот	PART	_	_	_	_	_	@vvm1939m-words#@vvm1939m#133.266#133.675
197	сейчас	сейчас	ADV	_	Degree=Pos	_	_	_	@vvm1939m-words#@vvm1939m#133.675#134.084
